Date,ZAR,EUR,USD
31-05-2022,16.77741,1,1.073376
01-06-2022,16.626684,1,1.065247
02-06-2022,16.62428,1,1.075073
03-06-2022,16.661718,1,1.071983
04-06-2022,16.662398,1,1.071983
05-06-2022,16.679642,1,1.07257
06-06-2022,16.524867,1,1.069107
07-06-2022,16.463961,1,1.069744
08-06-2022,16.389546,1,1.071731
09-06-2022,16.452769,1,1.061887
10-06-2022,16.697926,1,1.051785
11-06-2022,16.680053,1,1.051785
12-06-2022,16.671153,1,1.048944
13-06-2022,16.81249,1,1.041482
14-06-2022,16.734833,1,1.043952
15-06-2022,16.472471,1,1.045586
16-06-2022,16.888574,1,1.054652
17-06-2022,16.827531,1,1.049534
18-06-2022,16.822094,1,1.049534
19-06-2022,16.797961,1,1.049109
20-06-2022,16.867342,1,1.051912
21-06-2022,16.772696,1,1.05323
22-06-2022,16.829769,1,1.056245
23-06-2022,16.800522,1,1.051978
24-06-2022,16.682921,1,1.055687
25-06-2022,16.682921,1,1.055687
26-06-2022,16.693764,1,1.056574
27-06-2022,16.783195,1,1.058056
28-06-2022,16.919641,1,1.052321
29-06-2022,16.94771,1,1.044626
30-06-2022,17.068371,1,1.047735
01-07-2022,17.205407,1,1.042857
02-07-2022,17.205407,1,1.042857
03-07-2022,17.055687,1,1.043362
04-07-2022,17.054077,1,1.043286
05-07-2022,16.975358,1,1.027079
06-07-2022,17.099838,1,1.018382
07-07-2022,17.025296,1,1.016369
08-07-2022,16.967195,1,1.018589
09-07-2022,17.134039,1,1.018589
10-07-2022,17.134039,1,1.018589
11-07-2022,17.193185,1,1.008141
12-07-2022,17.181697,1,1.0022
13-07-2022,17.035237,1,1.003235
14-07-2022,17.180177,1,1.002531
15-07-2022,17.240551,1,1.008695
16-07-2022,17.240385,1,1.008695
17-07-2022,17.243346,1,1.009589
18-07-2022,17.37376,1,1.014482
19-07-2022,17.501908,1,1.023096
20-07-2022,17.450935,1,1.018242
21-07-2022,17.426727,1,1.022072
22-07-2022,17.195575,1,1.021408
23-07-2022,17.201459,1,1.021408
24-07-2022,17.16765,1,1.019987
25-07-2022,17.169447,1,1.022338
26-07-2022,17.126852,1,1.01292
27-07-2022,17.028493,1,1.020773
28-07-2022,16.85874,1,1.019197
29-07-2022,16.834928,1,1.022547
30-07-2022,16.834928,1,1.022547
31-07-2022,16.971902,1,1.020668
01-08-2022,16.942071,1,1.026099
02-08-2022,17.102635,1,1.015533
03-08-2022,17.042656,1,1.015729
04-08-2022,17.021535,1,1.024742
05-08-2022,17.088405,1,1.018024
06-08-2022,17.082979,1,1.018024
07-08-2022,17.073842,1,1.017051
08-08-2022,16.968659,1,1.019727
09-08-2022,16.950171,1,1.020778
10-08-2022,16.691656,1,1.029919
11-08-2022,16.763945,1,1.031513
12-08-2022,16.593693,1,1.026352
13-08-2022,16.593693,1,1.026352
14-08-2022,16.638401,1,1.025483
15-08-2022,16.701884,1,1.016162
16-08-2022,16.65916,1,1.01703
17-08-2022,16.957428,1,1.017863
18-08-2022,17.019347,1,1.008954
19-08-2022,17.089553,1,1.004182
20-08-2022,17.087574,1,1.004182
21-08-2022,17.101839,1,1.003487
22-08-2022,16.900564,1,0.993912
23-08-2022,16.938013,1,0.996656
24-08-2022,16.890304,1,0.99676
25-08-2022,16.694904,1,0.997093
26-08-2022,16.828595,1,0.996561
27-08-2022,16.828914,1,0.996561
28-08-2022,16.841747,1,0.993833
29-08-2022,16.865727,1,1.001252
30-08-2022,17.014743,1,1.002471
31-08-2022,17.206541,1,1.00387
01-09-2022,17.184435,1,0.995198
02-09-2022,17.224891,1,0.995768
03-09-2022,17.224891,1,0.995768
04-09-2022,17.158474,1,0.990908
05-09-2022,17.092593,1,0.995074
06-09-2022,17.134365,1,0.989761
07-09-2022,17.264992,1,0.999535
08-09-2022,17.525104,1,1.001051
09-09-2022,17.385791,1,1.015176
10-09-2022,17.576642,1,1.015383
11-09-2022,17.3806,1,1.007105
12-09-2022,17.335697,1,1.01292
13-09-2022,17.403366,1,0.998054
14-09-2022,17.457738,1,0.998253
15-09-2022,17.57782,1,0.998796
16-09-2022,17.603236,1,1.001532
17-09-2022,17.6339,1,1.00163
18-09-2022,17.678581,1,1.002115
19-09-2022,17.729481,1,1.00245
